"Country","Country code","Geographical scope","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Substance","Recall period","Age"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,2.5,,,,,,"Ecstasy","Last year","Young adults (15-34)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ecstasy","Last month","All adults (15-64)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ecstasy","Last month","Young adults (15-34)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LSD","Lifetime","All adults (15-64)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LSD","Lifetime","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"LSD","Last year","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"LSD","Last year","Young adults (15-34)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LSD","Last month","All adults (15-64)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LSD","Last month","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,7.3,,,,7.5,,,,8.3,,,,8.7,,,,"Cannabis","Lifetime","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,14.3,,,,15.6,,,,18.4,,,,17.9,,,,"Cannabis","Lifetime","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,2.7,,,,3.5,,,,4.2,,,,2.4,,,,"Cannabis","Last year","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,6,,,,8.3,,,,10.3,,,,5.9,,,,"Cannabis","Last year","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,1.4,,,,2,,,,2.5,,,,1,,,,"Cannabis","Last month","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,3.1,,,,4.8,,,,6.3,,,,2.4,,,,"Cannabis","Last month","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,1.7,,,,0.9,,,,0.9,,,,2,,,,"Cocaine","Lifetime","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,3,,,,1.7,,,,1.8,,,,3.7,,,,"Cocaine","Lifetime","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.7,,,,0.2,,,,0.3,,,,0.6,,,,"Cocaine","Last year","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,1.5,,,,0.3,,,,0.5,,,,1.3,,,,"Cocaine","Last year","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.4,,,,0.1,,,,0.1,,,,0.2,,,,"Cocaine","Last month","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.8,,,,0.1,,,,0.1,,,,0.4,,,,"Cocaine","Last month","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,2.1,,,,1.2,,,,1.5,,,,2.1,,,,"Amphetamines","Lifetime","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,4.4,,,,2.7,,,,3.6,,,,4.4,,,,"Amphetamines","Lifetime","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,,0.7,,,,0.7,,,,"Amphetamines","Last year","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,2.1,,,,1.3,,,,1.8,,,,1.4,,,,"Amphetamines","Last year","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.5,,,,0.3,,,,0.3,,,,0.2,,,,"Amphetamines","Last month","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,1.1,,,,0.7,,,,0.8,,,,0.5,,,,"Amphetamines","Last month","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,1.7,,,,2,,,,2.1,,,,1.3,,,,"Ecstasy","Lifetime","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,3.6,,,,4.4,,,,5,,,,2.6,,,,"Ecstasy","Lifetime","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.7,,,,1.2,,,,1.3,,,,0.2,,,,"Ecstasy","Last year","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,1.6,,,,2.9,,,,3.1,,,,0.7,,,,"Ecstasy","Last year","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.3,,,,0.4,,,,0.4,,,,0.1,,,,"Ecstasy","Last month","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.7,,,,1,,,,1.1,,,,0.2,,,,"Ecstasy","Last month","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.2,,,,0.3,,,,0.4,,,,0.2,,,,"LSD","Lifetime","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.4,,,,0.5,,,,0.8,,,,0.4,,,,"LSD","Lifetime","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0,,,,0.1,,,,0.2,,,,0.1,,,,"LSD","Last year","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0.1,,,,0.2,,,,0.4,,,,0.2,,,,"LSD","Last year","Young adults (15-34)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,"LSD","Last month","All adults (15-64)"
"Bulgaria","BG","National",,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,"LSD","Last month","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,15.6,,,19.4,,,,22.9,,,,,"Cannabis","Lifetime","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,25.3,,,31.6,,,,36,,,,,"Cannabis","Lifetime","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,5,,,7.9,,,,10.2,,,,,"Cannabis","Last year","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,10.5,,,16,,,,20.3,,,,,"Cannabis","Last year","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,2.9,,,5,,,,5.6,,,,,"Cannabis","Last month","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,6.1,,,10.2,,,,11.3,,,,,"Cannabis","Last month","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,2.3,,,2.7,,,,4.8,,,,,"Cocaine","Lifetime","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,3.8,,,4.1,,,,7.5,,,,,"Cocaine","Lifetime","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.8,,,,1.8,,,,,"Cocaine","Last year","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.9,,,1.6,,,,3.9,,,,,"Cocaine","Last year","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,,,,0.9,,,,,"Cocaine","Last month","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.6,,,,1.7,,,,,"Cocaine","Last month","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,2.6,,,3.5,,,,4.6,,,,,"Amphetamines","Lifetime","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,5.1,,,6.1,,,,7.4,,,,,"Amphetamines","Lifetime","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.8,,,1,,,,1.8,,,,,"Amphetamines","Last year","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,1.6,,,2.3,,,,3.5,,,,,"Amphetamines","Last year","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.5,,,,0.9,,,,,"Amphetamines","Last month","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.5,,,1.2,,,,1.4,,,,,"Amphetamines","Last month","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,2.5,,,3,,,,4.2,,,,,"Ecstasy","Lifetime","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,4.6,,,5,,,,6.6,,,,,"Ecstasy","Lifetime","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.6,,,,1.2,,,,,"Ecstasy","Last year","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.5,,,1.4,,,,2.6,,,,,"Ecstasy","Last year","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.3,,,,0.4,,,,,"Ecstasy","Last month","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.6,,,,0.7,,,,,"Ecstasy","Last month","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,1.4,,,1.7,,,,1.4,,,,,"LSD","Lifetime","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,2.4,,,2.5,,,,1.9,,,,,"LSD","Lifetime","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,,0.3,,,,,"LSD","Last year","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.5,,,,0.6,,,,,"LSD","Last year","Young adults (15-34)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1,,,,0.1,,,,,"LSD","Last month","All adults (15-64)"
"Croatia","HR","National",,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.2,,,,0,,,,,"LSD","Last month","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,6.6,,,11.6,,,9.9,,,,12.1,,,14.1,,,18,,"Cannabis","Lifetime","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,9.9,,,18,,,14.6,,,,17.2,,,22.4,,,24.7,,"Cannabis","Lifetime","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,2.1,,,4.4,,,2.2,,,,2.2,,,4,,,6,,"Cannabis","Last year","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,3.4,,,7.9,,,4.2,,,,4.3,,,8.1,,,10.6,,"Cannabis","Last year","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1.4,,,2.5,,,1.2,,,,1.2,,,2.2,,,3.1,,"Cannabis","Last month","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,2.1,,,4.5,,,2,,,,2.2,,,4.4,,,5.8,,"Cannabis","Last month","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1.1,,,3,,,1.3,,,,1.4,,,1.8,,,2.2,,"Cocaine","Lifetime","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1.4,,,5.3,,,2,,,,2.1,,,3,,,3.4,,"Cocaine","Lifetime","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.6,,,1.2,,,0.3,,,,0.2,,,0.5,,,0.7,,"Cocaine","Last year","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.7,,,2.2,,,0.6,,,,0.4,,,0.9,,,1.1,,"Cocaine","Last year","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.4,,,0.7,,,0.1,,,,0.1,,,0.1,,,0.5,,"Cocaine","Last month","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.4,,,1.3,,,0.1,,,,0.3,,,0.3,,,0.8,,"Cocaine","Last month","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.8,,,0.7,,,0.7,,,,0.5,,,0.4,,,0.9,,"Amphetamines","Lifetime","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.8,,,1.2,,,0.8,,,,0.6,,,0.4,,,1.8,,"Amphetamines","Lifetime","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.3,,,0.3,,,0.3,,,,0.1,,,0.1,,,0.5,,"Amphetamines","Last year","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.3,,,0.7,,,0.4,,,,0.1,,,0.2,,,0.9,,"Amphetamines","Last year","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0,,,0.1,,,0.3,,"Amphetamines","Last month","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.3,,,0.3,,,0.2,,,,0.1,,,0.1,,,0.6,,"Amphetamines","Last month","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1.6,,,2,,,0.9,,,,1.1,,,1.2,,,2.4,,"Ecstasy","Lifetime","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,2.4,,,3.8,,,1.2,,,,1.5,,,1.9,,,3.7,,"Ecstasy","Lifetime","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1,,,0.6,,,0.3,,,,0.1,,,0.3,,,0.9,,"Ecstasy","Last year","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1.3,,,1,,,0.3,,,,0.3,,,0.4,,,1.8,,"Ecstasy","Last year","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.6,,,0.3,,,0.2,,,,0,,,0.2,,,0.7,,"Ecstasy","Last month","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.8,,,0.5,,,0.1,,,,0.1,,,0.3,,,1.4,,"Ecstasy","Last month","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.9,,,1.3,,,0.5,,,,0.5,,,0.7,,,1.5,,"LSD","Lifetime","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,1,,,2.5,,,0.8,,,,0.9,,,1,,,2.5,,"LSD","Lifetime","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.5,,,0.5,,,0,,,,0.1,,,0.1,,,0.4,,"LSD","Last year","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.5,,,1,,,0.1,,,,0.3,,,0.1,,,0.8,,"LSD","Last year","Young adults (15-34)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.3,,,0.2,,,0,,,,0,,,0.1,,,0.3,,"LSD","Last month","All adults (15-64)"
"Cyprus","CY","National",,,,,,,,,,,,,,,,,0.3,,,0.3,,,0.1,,,,0.1,,,0.1,,,0.5,,"LSD","Last month","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,34.2,,,,27.9,,,,26.6,,,,29.9,,,,"Cannabis","Lifetime","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,53.3,,,,46.4,,,,43.8,,,,44.1,,,,"Cannabis","Lifetime","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,15.2,,,,9.2,,,,9.5,,,,11.1,,,,"Cannabis","Last year","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,28.2,,,,18.5,,,,19.4,,,,22.9,,,,"Cannabis","Last year","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,8.5,,,,4.4,,,,5.5,,,,6.8,,,,"Cannabis","Last month","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,16.7,,,,8.9,,,,11.1,,,,13.9,,,,"Cannabis","Last month","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,2,,,,2.3,,,,1.4,,,,2.7,,,,"Cocaine","Lifetime","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,3.6,,,,4,,,,2.4,,,,4.5,,,,"Cocaine","Lifetime","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,0.7,,,,0.4,,,,0.3,,,,0.9,,,,"Cocaine","Last year","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,1.6,,,,0.5,,,,0.7,,,,1.8,,,,"Cocaine","Last year","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,0.4,,,,0.1,,,,0.2,,,,0.1,,,,"Cocaine","Last month","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,0.8,,,,0.2,,,,0.6,,,,0.3,,,,"Cocaine","Last month","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,4.3,,,,2.5,,,,3,,,,3.4,,,,"Amphetamines","Lifetime","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,7.8,,,,4.5,,,,5.9,,,,6.1,,,,"Amphetamines","Lifetime","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,1.7,,,,0.4,,,,0.8,,,,0.9,,,,"Amphetamines","Last year","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,3.2,,,,0.8,,,,1.7,,,,2,,,,"Amphetamines","Last year","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,0.7,,,,0.2,,,,0.3,,,,0.3,,,,"Amphetamines","Last month","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,1.4,,,,0.3,,,,0.9,,,,0.6,,,,"Amphetamines","Last month","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,9.6,,,,3.6,,,,7.1,,,,9.1,,,,"Ecstasy","Lifetime","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,18.4,,,,7.3,,,,14.3,,,,18.6,,,,"Ecstasy","Lifetime","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,3.7,,,,0.6,,,,1.7,,,,1.9,,,,"Ecstasy","Last year","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,7.7,,,,1.2,,,,4.1,,,,4.7,,,,"Ecstasy","Last year","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,1.2,,,,0.1,,,,0.3,,,,0.5,,,,"Ecstasy","Last month","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,2.6,,,,0.1,,,,0.9,,,,1.3,,,,"Ecstasy","Last month","Young adults (15-34)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,5.6,,,,2.8,,,,2.1,,,,2.6,,,,"LSD","Lifetime","All adults (15-64)"
"Czechia","CZ","National",,,,,,,,,,,,,,,,,,,10.3,,,,5.4,,,,3.6,,,,5.2,,,,"LSD","Lifetime","Young adults (15-34)"
