"Country","City","Substance targeted","Current value","Previous value","Current year","Previous year","Percentage change","Change","SiteID","Location","Latitude","Longitude","Population","Institution"
"PL","Krakow P","MDMA",24.16,44.13,2023,2021,"-45.3","decrease","PL003","Krakow Plaszow",50.06,19.94,680000,"Mario Negri Institute"
"SI","Kranj","MDMA",12.51,11.06,2023,2022,"13.1","increase","SI003","Central wastewater treatment plant Kranj",46.242834,14.355542,70000,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"AT","Kufstein","MDMA",8.59,16.65,2023,2022,"-48.4","decrease","AT010","Abwasserverband Kufstein",47.582958,12.17077,48000,"Medical University Innsbruck"
"CY","Larnaca","MDMA",1.01,1.13,2023,2022,"-10.6","decrease","CY002","Sewage Bioard of Larnaca",34.915164353041,33.6361988334665,92279,"Magda Psichoudaki - Nireas IWRC"
"NL","Leeuwarden","MDMA",76.36,,2023,,,"no previous data","NL003","Leeuwarden",53.20082,5.8022,104355,"KWR Water Research Institute"
"CY","Limassol","MDMA",3.22,3.06,2023,2022,"5.2","stable","CY003","Sewerage Board of Limassol-Amathus (SBLA)",34.69,33.02,231278,"Magda Psichoudaki - Nireas IWRC"
"PT","Lisbon","MDMA",33.08,121.79,2023,2022,"-72.8","decrease","PT002","AlcÃ¢ntara",38.7044907,-9.1754999,426964,"INMLCF"
"SI","Ljubljana","MDMA",24.06,18.12,2023,2022,"32.799999999999997","increase","SI004","Central wastewater treatment plant Ljubljana",46.056947,14.505751,270305,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"ES","Lleida","MDMA",11.2,17.38,2023,2022,"-35.6","decrease","ES004","EDAR Lleida",41.617592,0.620015,146669,"IDAEA-CSIC"
"DE","Magdeburg","MDMA",20.04,13.04,2023,2022,"53.7","increase","DE023","Magdeburg",52.120533,11.627624,281150,"Clinical Pharmacology TU Dresden"
"LU","Mamer","MDMA",14.04,,2023,,,"no previous data","LU002","Mamer",49.6275,6.0145,11268,"Laboratoire national de santÃ©"
"SI","Maribor","MDMA",17.56,13.79,2023,2022,"27.3","increase","SI005","Maribor",46.55734,15.64591,129000,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"LU","Mersch","MDMA",13.08,,2023,,,"no previous data","LU003","Beringen",49.74811,6.10546,32157,"Laboratoire national de santÃ©"
"IT","Milan","MDMA",9.84,2.57,2023,2021,"282.89999999999998","increase","IT002","Nosedo",45.4337997,9.2213602,1195875,"Mario Negri Institute"
"DE","Munich G","MDMA",16.1,11.74,2023,2022,"37.1","increase","DE026","Gut Grosslappen",48.14,11.58,1156000,"Clinical Pharmacology TU Dresden"
"CY","Nicosia (2)","MDMA",2.99,1.04,2023,2022,"187.5","increase","CY005","Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia",35.17,33.4,104562,"N/A"
"SI","Novo mesto","MDMA",3.86,2.95,2023,2022,"30.8","increase","SI006","Wastewater treatment plant Novo mesto",45.804211,15.16969,25414,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"DE","Nuremberg","MDMA",25.87,6.15,2023,2022,"320.7","increase","DE028","NÃ¼rnberg",49.452101999999996,11.076665,445593,"Clinical Pharmacology TU Dresden"
"CZ","Ostrava","MDMA",9.71,10.31,2023,2021,"-5.8","stable","CZ004","ÃšÄŒOV Ostrava",49.833864,18.281034,250000,"T.G.Masaryk Water Research Institute"
"CY","Paphos","MDMA",5.29,0.64,2023,2022,"726.6","increase","CY007","Sewage Borad of Pafos",34.7758536275518,32.4215949998929,125616,"Magda Psichoudaki - Nireas IWRC"
"FR","Paris Seine Centre","MDMA",83.04,56.95,2023,2021,"45.8","increase","FR005","Seine Centre",48.95,2.27,411831,"Mario Negri Institute"
"SK","Piestany","MDMA",5.99,2.49,2023,2022,"140.6","increase","SK004","Piestany",48.5918007,17.8019009,35000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","PlzeÅˆ","MDMA",18.69,,2023,,,"no previous data","CZ005","ÄŒOV PlzeÅˆ",49.73945,13.37329,178677,"T.G.Masaryk Water Research Institute"
"PT","Porto","MDMA",18.56,16.56,2023,2022,"12.1","increase","PT003","Porto",41.157944,-8.629105,150000,"USC"
"CZ","Prague NVL","MDMA",40.79,49.44,2023,2022,"-17.5","decrease","CZ007","ÃšÄŒOV Praha",50.0763,14.43952,760000,"T.G.Masaryk Water Research Institute"
"AT","Purgstall","MDMA",13.22,5.91,2023,2022,"123.7","increase","AT013","GAV Erlauftal",48.057812,15.13545,11000,"Medical University Innsbruck"
"AT","Region MillstÃ¤ttersee","MDMA",3.55,4.46,2023,2022,"-20.399999999999999","decrease","AT011","Wasserverband Millstaettersee",46.81924,13.52146,76000,"Medical University Innsbruck"
"LV","Riga","MDMA",28.64,33.84,2023,2022,"-15.4","decrease","LV001","Riga",56.94965,24.105186,619703,"Toxicological Centre"
"NL","Rotterdam (2)","MDMA",236.71,,2023,,,"no previous data","NL006","Rotterdam Kralingseveer; Rotterdam Dokhaven",51.92288,4.47847,612912,"N/A"
"DE","SaarbrÃ¼cken (2)","MDMA",26,15.59,2023,2022,"66.8","increase","DE030","Brebach; Burbach",49.240157,6.996933,203643,"IFT Institut fÃ¼r Therapieforschung"
"AT","Salzburg","MDMA",6.9,6.85,2023,2022,"0.7","stable","AT014","ARA Siggerwiesen",47.811195,13.033229,424000,"Medical University Innsbruck"
"ES","Santiago","MDMA",16.75,30.41,2023,2022,"-44.9","decrease","ES007","Silvouta",42.88,-8.54,136500,"IAQBUS"
"AT","Steyr","MDMA",15.78,7.15,2023,2022,"120.7","increase","AT015","Reinhaltungsverband Steyr und Umgebung",48.05009,14.41827,81000,"Medical University Innsbruck"
"AT","Strass im Zillertal","MDMA",15.54,8.93,2023,2022,"74","increase","AT016","AIZ Abwasserverband",47.395748,11.82211,129000,"Medical University Innsbruck"
"EE","Tallinn","MDMA",27.55,23.94,2023,2022,"15.1","increase","EE005","AS Tallinna Vesi",59.436962,24.753574,480000,"Estonian Forensic Science Institute"
"FI","Tampere","MDMA",20.88,9.64,2023,2022,"116.6","increase","FI024","Viinikanlahti",61.49,23.77,200000,"THL/Forensic Toxicology"
"EE","Tartu","MDMA",24.75,,2023,,,"no previous data","EE006","AS Tartu VeevÃ¤rk",58.3770174887881,26.7297981416611,100000,"Estonian Forensic Science Institute"
"FI","Turku","MDMA",22.3,9.67,2023,2022,"130.6","increase","FI025","KakolanmÃ¤ki",60.44,22.24,300000,"THL/Forensic Toxicology"
"NL","Utrecht","MDMA",116.73,111.62,2023,2022,"4.5999999999999996","stable","NL009","RWZI Utrecht",52.0858002,5.1308398,274188,"KWR Water Research Institute"
"ES","Valencia (3)","MDMA",8.95,15.86,2023,2021,"-43.6","decrease","ES009","Pinedo I; Pinedo II; Quart-Benager",39.46,-0.33,1471771,"Research Institute for Pesticides and Water, University Jaume I"
"SI","Velenje","MDMA",5.11,9.02,2023,2022,"-43.3","decrease","SI007","Central wastewater treatment plant Å aleÅ¡ke Doline (Å alek Valley)",46.362274,15.110658,32583,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"LT","Vilnius","MDMA",51.13,30.58,2023,2022,"67.2","increase","LT003","Vilniaus vandenys",54.687156,25.279651,576727,"Toxicological Centre"
"SE","VÃ¤xjÃ¶","MDMA",7.08,3.98,2023,2022,"77.900000000000006","increase","SE009","Sundets ARV",56.858257,14.761215,75042,"RISE"
"AT","Wasserverband Hofsteig","MDMA",5.6,6.58,2023,2022,"-14.9","decrease","AT003","ARA Hofsteig",47.4852,9.6762,123000,"Medical University Innsbruck"
"AT","Wien","MDMA",18.67,18.19,2023,2022,"2.6","stable","AT017","HauptklÃ¤ranlage Wien",48.210033,16.363449,3132000,"Medical University Innsbruck"
"AT","Wiener Neustadt","MDMA",10.63,8.54,2023,2022,"24.5","increase","AT018","AWV Wr. Neustadt-SÃ¼d",47.80279,16.23318,136000,"Medical University Innsbruck"
"AT","Wildon","MDMA",10.53,7.11,2023,2022,"48.1","increase","AT019","Abwasserverband Grazerfeld",46.885708,15.518532,75000,"Medical University Innsbruck"
"HR","Zagreb","MDMA",27.27,26.86,2023,2022,"1.5","stable","HR001","Central wastewater treatment plant of the city of Zagreb",45.7929993,15.9463997,650000,"IUPA"
"CZ","ÄŒeskÃ© BudÄ›jovice","MDMA",6.97,15.2,2023,2022,"-54.1","decrease","CZ002","UCOV CB",48.96,14.46,110000,"FFPW USB"
